Transaction ID,Date,Day of Week,Time,Type of Card,Entry Mode,Amount,Type of Transaction,Merchant Group,Country of Transaction,Shipping Address,Country of Residence,Gender,Age,Bank,Fraud
#3429 804,13-Oct-20,Tuesday,17,MasterCard,CVC,£26,Online,Fashion,India,India,India,M,33.2,HSBC,0
#3000 345,13-Oct-20,Tuesday,4,Visa,PIN,£15,ATM,Products,USA,USA,United Kingdom,M,29.7,Barclays,1
#3487 346,13-Oct-20,Tuesday,5,Visa,Tap,£26,POS,Restaurant,United Kingdom,India,United Kingdom,M,48.3,Monzo,1
#3028 815,13-Oct-20,Tuesday,21,Visa,PIN,£220,POS,Subscription,China,China,China,F,31.3,Barclays,0
#3122 861,13-Oct-20,Tuesday,20,MasterCard,PIN,£293,POS,Food,United Kingdom,United Kingdom,United Kingdom,F,33.6,Lloyds,0
#2837 774,13-Oct-20,Tuesday,6,MasterCard,Tap,£18,POS,Food,Russia,Russia,United Kingdom,F,39.4,Barlcays,1
#2881 318,13-Oct-20,Tuesday,11,MasterCard,PIN,£45,ATM,Products,United Kingdom,United Kingdom,United Kingdom,M,41.9,Barlcays,0
#3025 394,14-Oct-20,Wednesday,20,MasterCard,Tap,£12,POS,Restaurant,United Kingdom,United Kingdom,United Kingdom,F,53.5,Halifax,0
#3671 552,13-Oct-20,Tuesday,18,MasterCard,PIN,£222,POS,Gaming,United Kingdom,United Kingdom,United Kingdom,M,33.9,Monzo,0
#3647 274,14-Oct-20,Wednesday,9,MasterCard,CVC,£21,Online,Electronics,United Kingdom,China,United Kingdom,F,45.9,Monzo,0
#2785 284,14-Oct-20,Wednesday,6,Visa,PIN,£39,ATM,Fashion,Russia,Russia,United Kingdom,M,50.8,Halifax,1
#2998 491,13-Oct-20,Tuesday,15,Visa,PIN,£5,ATM,Electronics,India,India,United Kingdom,F,29.4,Metro,1
#2607 591,13-Oct-20,Tuesday,14,Visa,PIN,£133,POS,Children,India,India,India,F,29.0,Barclays,0
#3011 339,13-Oct-20,Tuesday,18,Visa,CVC,£23,Online,Gaming,USA,USA,USA,F,36.4,Lloyds,0
#2917 978,13-Oct-20,Tuesday,13,Visa,Tap,£25,POS,Electronics,United Kingdom,United Kingdom,United Kingdom,F,59.0,Monzo,0
#3010 879,14-Oct-20,Wednesday,7,MasterCard,PIN,£184,POS,Children,USA,USA,USA,F,46.9,Metro,0
#2856 359,13-Oct-20,Tuesday,6,Visa,CVC,£26,Online,Products,USA,USA,United Kingdom,M,51.8,Barclays,1
#3410 244,13-Oct-20,Tuesday,1,Visa,PIN,£286,ATM,Subscription,China,China,United Kingdom,M,45.8,Lloyds,1
#3217 769,13-Oct-20,Tuesday,18,MasterCard,PIN,£88,ATM,Restaurant,China,China,China,M,37.6,Monzo,0
#2979 409,13-Oct-20,Tuesday,20,MasterCard,PIN,£267,POS,Products,United Kingdom,United Kingdom,United Kingdom,F,51.8,Barclays,0
#2747 975,13-Oct-20,Tuesday,21,Visa,CVC,£19,Online,Products,United Kingdom,United Kingdom,United Kingdom,M,48.8,Lloyds,0
#2714 379,13-Oct-20,Tuesday,13,MasterCard,Tap,£16,POS,Fashion,United Kingdom,China,United Kingdom,F,62.0,HSBC,1
#3349 533,14-Oct-20,Wednesday,13,Visa,PIN,£13,ATM,Services,United Kingdom,United Kingdom,United Kingdom,F,56.9,Barlcays,0
#3316 175,14-Oct-20,Wednesday,3,MasterCard,PIN,£5,ATM,Services,China,China,United Kingdom,F,62.8,Barlcays,1
#3487 597,13-Oct-20,Tuesday,20,Visa,PIN,£39,ATM,Services,Russia,Russia,Russia,M,43.3,HSBC,0
#2819 716,14-Oct-20,Wednesday,19,Visa,CVC,£24,Online,Entertainment,United Kingdom,United Kingdom,United Kingdom,F,24.5,HSBC,0
#3257 280,14-Oct-20,Wednesday,9,MasterCard,Tap,£28,POS,Subscription,United Kingdom,United Kingdom,United Kingdom,M,46.7,Metro,0
#3142 716,14-Oct-20,Wednesday,4,Visa,CVC,£21,Online,Entertainment,USA,USA,United Kingdom,M,51.8,Barclays,1
#3169 876,13-Oct-20,Tuesday,13,Visa,PIN,£18,ATM,Entertainment,India,India,United Kingdom,M,48.0,Lloyds,1
#3532 147,13-Oct-20,Tuesday,23,Visa,PIN,£394,POS,Restaurant,United Kingdom,United Kingdom,United Kingdom,F,34.3,Metro,0
#2745 044,13-Oct-20,Tuesday,8,MasterCard,PIN,£229,ATM,Children,United Kingdom,United Kingdom,United Kingdom,M,49.7,Barclays,0
#2990 462,14-Oct-20,Wednesday,23,Visa,CVC,£27,Online,Subscription,India,India,India,M,48.4,Barclays,0
#2570 752,13-Oct-20,Tuesday,2,Visa,CVC,£24,Online,Restaurant,USA,USA,United Kingdom,F,56.0,Barclays,1
#3239 065,14-Oct-20,Wednesday,7,Visa,CVC,£16,Online,Entertainment,United Kingdom,United Kingdom,United Kingdom,M,65.1,HSBC,0
#3191 951,14-Oct-20,Wednesday,15,Visa,Tap,£18,POS,Gaming,China,China,United Kingdom,M,55.8,Metro,1
#3221 560,13-Oct-20,Tuesday,20,Visa,PIN,£322,POS,Fashion,United Kingdom,United Kingdom,United Kingdom,M,40.7,Lloyds,0
#3465 301,13-Oct-20,Tuesday,15,MasterCard,CVC,£24,Online,Restaurant,China,China,United Kingdom,F,38.0,Barclays,1
#3448 881,14-Oct-20,Wednesday,18,MasterCard,CVC,£6,Online,Fashion,United Kingdom,United Kingdom,United Kingdom,F,27.5,Lloyds,0
#2836 950,14-Oct-20,Wednesday,11,Visa,PIN,£126,POS,Children,India,India,India,F,33.9,HSBC,0
#3255 111,14-Oct-20,Wednesday,12,Visa,PIN,£77,POS,Restaurant,United Kingdom,United Kingdom,United Kingdom,F,55.9,Barlcays,0
#2640 574,14-Oct-20,Wednesday,23,MasterCard,CVC,£334,Online,Products,United Kingdom,USA,United Kingdom,M,60.1,Barclays,0
#3495 791,14-Oct-20,Wednesday,16,Visa,PIN,£11,ATM,Children,USA,USA,United Kingdom,F,46.1,Barclays,1
#2718 972,14-Oct-20,Wednesday,6,Visa,Tap,£21,POS,Products,India,India,United Kingdom,F,47.1,HSBC,1
#2592 542,13-Oct-20,Tuesday,2,MasterCard,PIN,£21,ATM,Products,China,China,United Kingdom,M,27.9,Metro,1
#2546 921,13-Oct-20,Tuesday,18,MasterCard,PIN,£24,ATM,Fashion,United Kingdom,USA,United Kingdom,F,52.0,Barclays,0
#3517 788,14-Oct-20,Wednesday,16,Visa,CVC,£369,Online,Gaming,Russia,Russia,United Kingdom,M,58.4,HSBC,1
#2904 205,13-Oct-20,Tuesday,7,Visa,PIN,£24,ATM,Restaurant,United Kingdom,United Kingdom,United Kingdom,F,52.4,Barlcays,0
#3167 697,13-Oct-20,Tuesday,15,Visa,Tap,£22,POS,Subscription,United Kingdom,United Kingdom,United Kingdom,M,44.4,Monzo,0
#3206 572,13-Oct-20,Tuesday,4,Visa,PIN,£8,ATM,Restaurant,Russia,Russia,United Kingdom,M,38.8,Barclays,1
#2577 303,14-Oct-20,Wednesday,11,MasterCard,CVC,£30,Online,Food,United Kingdom,United Kingdom,United Kingdom,F,36.2,Lloyds,0
#3111 287,13-Oct-20,Tuesday,8,MasterCard,CVC,£25,Online,Products,United Kingdom,United Kingdom,United Kingdom,M,53.0,Metro,0
#3256 541,14-Oct-20,Wednesday,4,MasterCard,CVC,£18,Online,Services,Russia,Russia,United Kingdom,F,42.4,Metro,1
#3453 459,14-Oct-20,Wednesday,0,MasterCard,CVC,£390,Online,Electronics,Russia,Russia,United Kingdom,F,44.4,Halifax,1
#2757 101,14-Oct-20,Wednesday,8,Visa,PIN,£7,ATM,Entertainment,United Kingdom,United Kingdom,United Kingdom,F,27.4,Halifax,0
#2733 189,13-Oct-20,Tuesday,15,MasterCard,PIN,£159,POS,Restaurant,United Kingdom,United Kingdom,United Kingdom,M,49.8,HSBC,0
#2929 143,13-Oct-20,Tuesday,0,MasterCard,Tap,£22,POS,Subscription,China,China,United Kingdom,F,45.5,HSBC,1
#2796 681,13-Oct-20,Tuesday,9,Visa,CVC,£299,Online,Subscription,United Kingdom,United Kingdom,United Kingdom,M,58.0,HSBC,0
#3581 844,14-Oct-20,Wednesday,10,Visa,Tap,£30,POS,Electronics,Russia,Russia,United Kingdom,M,51.9,Metro,1
#3488 790,13-Oct-20,Tuesday,8,MasterCard,PIN,£291,ATM,Food,United Kingdom,United Kingdom,United Kingdom,F,59.2,Barlcays,0
#3003 619,14-Oct-20,Wednesday,3,Visa,PIN,£277,POS,Electronics,Russia,Russia,United Kingdom,M,34.7,Barclays,1
#3234 310,14-Oct-20,Wednesday,2,MasterCard,CVC,£378,Online,Electronics,Russia,Russia,United Kingdom,F,46.2,HSBC,1
#3660 266,13-Oct-20,Tuesday,10,MasterCard,CVC,£17,Online,Children,USA,USA,United Kingdom,F,41.6,Lloyds,1
#2984 680,13-Oct-20,Tuesday,5,MasterCard,CVC,£5,Online,Children,United Kingdom,Russia,United Kingdom,M,46.4,Monzo,1
#3355 251,14-Oct-20,Wednesday,18,Visa,CVC,£9,Online,Subscription,United Kingdom,United Kingdom,United Kingdom,F,44.1,Barclays,0
#3336 419,14-Oct-20,Wednesday,2,Visa,CVC,£278,Online,Electronics,United Kingdom,USA,United Kingdom,M,19.1,Halifax,1
#3522 957,14-Oct-20,Wednesday,21,Visa,PIN,£13,ATM,Restaurant,United Kingdom,Russia,United Kingdom,F,48.2,Barclays,0
#3250 520,13-Oct-20,Tuesday,3,Visa,PIN,£29,ATM,Fashion,Russia,Russia,United Kingdom,M,44.9,HSBC,1
#3080 241,13-Oct-20,Tuesday,9,MasterCard,CVC,£28,Online,Services,USA,USA,United Kingdom,F,48.6,Lloyds,1
#2577 591,14-Oct-20,Wednesday,12,MasterCard,PIN,£102,POS,Services,United Kingdom,United Kingdom,United Kingdom,M,38.6,Barclays,0
#3093 496,13-Oct-20,Tuesday,14,Visa,CVC,£12,Online,Electronics,United Kingdom,China,United Kingdom,M,53.4,Barclays,1
#2767 174,14-Oct-20,Wednesday,15,MasterCard,CVC,£314,Online,Products,China,China,China,F,36.9,Barclays,0
#2851 151,14-Oct-20,Wednesday,23,Visa,PIN,£384,POS,Products,Russia,Russia,Russia,F,38.3,RBS,0
#2748 509,14-Oct-20,Wednesday,16,Visa,PIN,£161,POS,Gaming,China,China,United Kingdom,F,41.3,Lloyds,0
#2579 302,14-Oct-20,Wednesday,21,Visa,PIN,£29,ATM,Entertainment,United Kingdom,United Kingdom,United Kingdom,F,34.1,Lloyds,0
#2660 239,13-Oct-20,Tuesday,19,MasterCard,PIN,£21,ATM,Products,United Kingdom,United Kingdom,United Kingdom,M,37.6,Barclays,0
#3101 475,14-Oct-20,Wednesday,0,Visa,PIN,£5,ATM,Products,Russia,Russia,United Kingdom,M,28.3,HSBC,1
#3578 167,14-Oct-20,Wednesday,1,Visa,CVC,£165,Online,Fashion,India,India,United Kingdom,M,37.9,Barclays,1
#3608 075,13-Oct-20,Tuesday,23,Visa,PIN,£362,POS,Services,United Kingdom,United Kingdom,United Kingdom,F,35.7,HSBC,0
#3430 983,14-Oct-20,Wednesday,10,MasterCard,CVC,£380,Online,Fashion,China,China,United Kingdom,F,46.3,Barclays,1
#2598 168,14-Oct-20,Wednesday,19,MasterCard,Tap,£7,POS,Restaurant,United Kingdom,China,United Kingdom,M,45.6,Barclays,1
#3238 298,14-Oct-20,Wednesday,21,MasterCard,PIN,£358,POS,Food,United Kingdom,China,United Kingdom,M,44.2,RBS,0
#3009 852,13-Oct-20,Tuesday,17,MasterCard,PIN,£368,POS,Services,United Kingdom,United Kingdom,United Kingdom,M,34.7,Halifax,0
#3668 488,14-Oct-20,Wednesday,3,MasterCard,CVC,£14,Online,Children,United Kingdom,China,United Kingdom,M,46.4,Barclays,1
#3245 372,14-Oct-20,Wednesday,5,Visa,PIN,£28,ATM,Restaurant,China,China,United Kingdom,M,35.0,RBS,1
#2803 951,14-Oct-20,Wednesday,20,MasterCard,PIN,£291,POS,Children,United Kingdom,United Kingdom,United Kingdom,F,22.1,HSBC,0
#3675 162,14-Oct-20,Wednesday,18,MasterCard,PIN,£12,ATM,Children,USA,USA,United Kingdom,F,51.6,RBS,1
#3010 244,13-Oct-20,Tuesday,12,Visa,CVC,£174,Online,Electronics,United Kingdom,United Kingdom,United Kingdom,M,39.6,Barclays,0
#3682 548,14-Oct-20,Wednesday,9,Visa,CVC,£12,Online,Children,United Kingdom,United Kingdom,United Kingdom,M,47.1,Metro,1
#2672 074,14-Oct-20,Wednesday,4,Visa,PIN,£99,ATM,Products,USA,USA,United Kingdom,M,46.7,Barclays,1
#2968 810,13-Oct-20,Tuesday,16,MasterCard,Tap,£27,POS,Services,United Kingdom,United Kingdom,United Kingdom,F,40.3,Barclays,0
#3080 881,14-Oct-20,Wednesday,17,Visa,CVC,£10,Online,Products,Russia,Russia,Russia,F,38.3,Monzo,0
#3269 025,14-Oct-20,Wednesday,23,Visa,CVC,£9,Online,Services,United Kingdom,China,United Kingdom,M,23.1,Barclays,1
#2754 981,13-Oct-20,Tuesday,11,Visa,CVC,£10,Online,Services,United Kingdom,United Kingdom,United Kingdom,F,31.4,Barclays,0
#2897 386,13-Oct-20,Tuesday,8,Visa,CVC,£91,Online,Fashion,United Kingdom,India,United Kingdom,M,41.6,Barclays,1
#2754 641,14-Oct-20,Wednesday,23,Visa,Tap,£12,POS,Products,United Kingdom,India,United Kingdom,M,33.2,Barclays,0
#3083 993,14-Oct-20,Wednesday,7,Visa,Tap,£8,POS,Services,India,India,India,M,36.1,Halifax,0
#3014 124,14-Oct-20,Wednesday,7,MasterCard,Tap,£9,POS,Subscription,China,China,China,F,51.0,RBS,0
#2921 843,14-Oct-20,Wednesday,7,MasterCard,PIN,£111,POS,Entertainment,Russia,Russia,United Kingdom,F,41.0,Metro,1
#3105 054,13-Oct-20,Tuesday,6,MasterCard,CVC,£28,Online,Gaming,Russia,Russia,United Kingdom,F,46.3,Halifax,1
#3503 439,14-Oct-20,Wednesday,9,MasterCard,Tap,£26,POS,Electronics,United Kingdom,Russia,United Kingdom,M,39.4,Barclays,0
#3314 105,13-Oct-20,Tuesday,17,Visa,PIN,£303,ATM,Electronics,United Kingdom,United Kingdom,United Kingdom,M,55.5,Barclays,0
#3680 006,13-Oct-20,Tuesday,1,Visa,CVC,£27,Online,Food,Russia,Russia,United Kingdom,M,42.2,Barclays,1
#3078 579,13-Oct-20,Tuesday,18,Visa,CVC,£19,Online,Products,USA,USA,United Kingdom,M,57.0,Halifax,1
#2876 134,13-Oct-20,Tuesday,1,Visa,CVC,£49,Online,Entertainment,China,China,United Kingdom,F,53.4,Lloyds,1
#3136 255,14-Oct-20,Wednesday,14,MasterCard,PIN,£10,ATM,Restaurant,United Kingdom,United Kingdom,United Kingdom,F,58.8,Barclays,0
#3224 804,13-Oct-20,Tuesday,7,Visa,Tap,£17,POS,Products,United Kingdom,United Kingdom,United Kingdom,M,35.4,Monzo,0
#3349 745,14-Oct-20,Wednesday,15,Visa,PIN,£377,POS,Fashion,China,China,United Kingdom,M,41.6,Barlcays,1
#2634 682,14-Oct-20,Wednesday,5,Visa,CVC,£16,Online,Entertainment,Russia,Russia,United Kingdom,M,49.6,Monzo,1
#3679 965,14-Oct-20,Wednesday,7,MasterCard,PIN,£10,ATM,Products,United Kingdom,United Kingdom,United Kingdom,F,43.0,Halifax,0
#3030 418,13-Oct-20,Tuesday,1,Visa,CVC,£16,Online,Products,China,China,United Kingdom,F,44.5,Barlcays,1
#3662 366,13-Oct-20,Tuesday,16,Visa,PIN,£341,POS,Subscription,Russia,Russia,United Kingdom,M,30.4,HSBC,0
#2608 086,13-Oct-20,Tuesday,3,Visa,PIN,£9,ATM,Restaurant,Russia,Russia,United Kingdom,M,37.4,Metro,1
#2875 482,13-Oct-20,Tuesday,12,MasterCard,PIN,£8,ATM,Fashion,India,India,India,F,45.9,Halifax,0
#3530 340,14-Oct-20,Wednesday,20,MasterCard,CVC,£10,Online,Services,United Kingdom,United Kingdom,United Kingdom,F,61.2,Monzo,0
#3152 304,13-Oct-20,Tuesday,2,Visa,CVC,£27,Online,Fashion,USA,USA,United Kingdom,M,64.6,HSBC,1
#2631 931,14-Oct-20,Wednesday,23,Visa,Tap,£23,POS,Children,United Kingdom,United Kingdom,United Kingdom,M,39.2,HSBC,0
#3010 164,14-Oct-20,Wednesday,15,MasterCard,PIN,£175,POS,Children,United Kingdom,United Kingdom,United Kingdom,F,45.0,Monzo,0
#3596 405,14-Oct-20,Wednesday,5,MasterCard,Tap,£25,POS,Electronics,Russia,Russia,United Kingdom,M,48.3,Barclays,1
#3223 633,13-Oct-20,Tuesday,8,MasterCard,Tap,£13,POS,Food,United Kingdom,United Kingdom,United Kingdom,F,40.4,Monzo,0
#3152 518,14-Oct-20,Wednesday,13,MasterCard,PIN,£21,ATM,Fashion,United Kingdom,United Kingdom,United Kingdom,M,46.8,Lloyds,0
#2620 931,14-Oct-20,Wednesday,2,Visa,CVC,£27,Online,Food,India,India,United Kingdom,F,44.2,Barclays,1
#2957 729,14-Oct-20,Wednesday,5,MasterCard,CVC,£16,Online,Fashion,Russia,Russia,United Kingdom,F,65.0,Barclays,1
#2962 717,13-Oct-20,Tuesday,0,Visa,CVC,£16,Online,Electronics,India,India,United Kingdom,M,57.6,Monzo,1
#3507 929,13-Oct-20,Tuesday,8,MasterCard,Tap,£9,POS,Children,United Kingdom,United Kingdom,United Kingdom,M,43.5,Monzo,0
#2989 098,13-Oct-20,Tuesday,0,Visa,PIN,£17,ATM,Electronics,Russia,Russia,United Kingdom,F,48.0,RBS,1
#3407 620,13-Oct-20,Tuesday,14,Visa,CVC,£240,Online,Subscription,India,India,United Kingdom,M,44.7,Barclays,1
#3669 080,13-Oct-20,Tuesday,11,Visa,PIN,£9,ATM,Children,United Kingdom,Russia,United Kingdom,M,49.4,RBS,0
#3598 125,14-Oct-20,Wednesday,22,Visa,PIN,£8,ATM,Products,India,India,United Kingdom,M,38.0,Monzo,1
#2656 490,14-Oct-20,Wednesday,0,MasterCard,Tap,£6,POS,Subscription,India,India,United Kingdom,M,30.8,RBS,1
#3408 684,14-Oct-20,Wednesday,0,Visa,Tap,£5,POS,Food,United Kingdom,Russia,United Kingdom,M,41.3,Barclays,1
#3626 618,14-Oct-20,Wednesday,1,Visa,CVC,£350,Online,Electronics,USA,USA,United Kingdom,F,45.1,Lloyds,1
#2873 545,13-Oct-20,Tuesday,7,MasterCard,PIN,£269,ATM,Entertainment,United Kingdom,USA,United Kingdom,M,56.0,Barclays,0
#3099 718,13-Oct-20,Tuesday,7,Visa,PIN,£37,ATM,Entertainment,United Kingdom,United Kingdom,United Kingdom,M,42.3,Metro,0
#3070 957,13-Oct-20,Tuesday,7,MasterCard,CVC,£29,Online,Electronics,India,India,United Kingdom,F,35.1,RBS,1
#3412 671,14-Oct-20,Wednesday,11,Visa,PIN,£29,ATM,Restaurant,Russia,Russia,United Kingdom,M,46.7,Monzo,1
#3665 050,13-Oct-20,Tuesday,16,Visa,PIN,£368,POS,Gaming,India,India,United Kingdom,F,33.3,Metro,1
#2570 346,13-Oct-20,Tuesday,2,MasterCard,CVC,£13,Online,Fashion,Russia,Russia,United Kingdom,F,38.6,Barclays,1
#3198 303,13-Oct-20,Tuesday,0,MasterCard,Tap,£11,POS,Food,Russia,Russia,United Kingdom,M,31.8,Barclays,1
#3061 384,13-Oct-20,Tuesday,5,MasterCard,CVC,£10,Online,Food,China,China,United Kingdom,F,37.1,HSBC,1
#3207 429,14-Oct-20,Wednesday,14,Visa,Tap,£14,POS,Electronics,United Kingdom,United Kingdom,United Kingdom,F,19.4,Monzo,0
#3310 099,14-Oct-20,Wednesday,8,MasterCard,Tap,£11,POS,Children,United Kingdom,United Kingdom,United Kingdom,M,34.6,Halifax,0
#3421 453,14-Oct-20,Wednesday,19,MasterCard,CVC,£17,Online,Children,United Kingdom,United Kingdom,United Kingdom,F,44.3,Barclays,0
#3452 832,14-Oct-20,Wednesday,12,MasterCard,Tap,£10,POS,Services,China,China,United Kingdom,M,62.4,Monzo,1
#3573 390,14-Oct-20,Wednesday,4,Visa,CVC,£24,Online,Restaurant,USA,USA,United Kingdom,F,39.9,Barclays,1
#3617 383,14-Oct-20,Wednesday,1,MasterCard,CVC,£23,Online,Products,United Kingdom,Russia,United Kingdom,F,61.5,RBS,1
#2688 693,14-Oct-20,Wednesday,2,MasterCard,PIN,£7,ATM,Fashion,China,China,United Kingdom,M,35.4,Halifax,1
#3680 680,14-Oct-20,Wednesday,20,Visa,PIN,£23,ATM,Fashion,Russia,Russia,United Kingdom,F,58.8,Barclays,1
#2953 291,14-Oct-20,Wednesday,23,Visa,PIN,£11,ATM,Fashion,USA,USA,USA,F,55.0,Halifax,0
#3423 222,14-Oct-20,Wednesday,16,Visa,PIN,£219,POS,Electronics,USA,USA,United Kingdom,F,62.4,Metro,1
#3275 163,14-Oct-20,Wednesday,12,Visa,CVC,£65,Online,Restaurant,India,India,India,F,44.2,HSBC,0
#2697 119,14-Oct-20,Wednesday,6,Visa,PIN,£18,ATM,Products,USA,USA,United Kingdom,M,45.9,Barlcays,1
#2955 094,14-Oct-20,Wednesday,10,MasterCard,CVC,£13,Online,Entertainment,Russia,Russia,United Kingdom,F,46.1,Monzo,1
#2825 504,13-Oct-20,Tuesday,20,Visa,Tap,£17,POS,Food,USA,USA,United Kingdom,M,50.9,Metro,1
#2756 803,14-Oct-20,Wednesday,19,Visa,PIN,£20,ATM,Restaurant,United Kingdom,United Kingdom,United Kingdom,F,62.5,Lloyds,0
#2974 030,14-Oct-20,Wednesday,15,MasterCard,PIN,£21,ATM,Services,United Kingdom,United Kingdom,United Kingdom,F,52.2,RBS,0
#2830 388,14-Oct-20,Wednesday,7,Visa,CVC,£136,Online,Products,India,India,India,F,42.6,Metro,0
#2863 596,13-Oct-20,Tuesday,22,Visa,CVC,£18,Online,Entertainment,United Kingdom,China,United Kingdom,M,38.6,Monzo,1
#3568 471,14-Oct-20,Wednesday,17,Visa,CVC,£17,Online,Products,United Kingdom,United Kingdom,United Kingdom,M,35.9,Barclays,0
#3089 263,14-Oct-20,Wednesday,10,MasterCard,CVC,£6,Online,Products,United Kingdom,United Kingdom,United Kingdom,M,63.4,Monzo,0
#3141 953,13-Oct-20,Tuesday,19,Visa,CVC,£29,Online,Products,India,India,United Kingdom,M,35.8,Halifax,1
#2970 584,13-Oct-20,Tuesday,4,Visa,CVC,£10,Online,Entertainment,India,India,United Kingdom,M,23.0,HSBC,1
#3368 687,14-Oct-20,Wednesday,21,MasterCard,PIN,£29,ATM,Children,USA,USA,United Kingdom,M,41.7,Monzo,1
#3549 845,13-Oct-20,Tuesday,16,Visa,Tap,£10,POS,Restaurant,China,China,United Kingdom,F,34.4,Barclays,1
#3424 906,14-Oct-20,Wednesday,23,Visa,Tap,£11,POS,Food,USA,USA,United Kingdom,F,37.3,RBS,1
#2938 311,14-Oct-20,Wednesday,4,Visa,CVC,£341,Online,Entertainment,Russia,Russia,United Kingdom,M,68.2,HSBC,1
#2975 611,13-Oct-20,Tuesday,19,Visa,PIN,£25,ATM,Children,United Kingdom,United Kingdom,United Kingdom,M,56.6,Lloyds,0
#3031 016,13-Oct-20,Tuesday,23,MasterCard,PIN,£96,ATM,Entertainment,USA,USA,United Kingdom,F,41.8,Barclays,0
#3590 485,13-Oct-20,Tuesday,15,Visa,CVC,£28,Online,Entertainment,United Kingdom,United Kingdom,United Kingdom,M,46.2,RBS,0
#3271 955,14-Oct-20,Wednesday,5,MasterCard,PIN,£17,ATM,Children,China,China,United Kingdom,M,55.8,Metro,1
#2843 644,14-Oct-20,Wednesday,13,Visa,PIN,£110,POS,Subscription,India,India,India,F,30.2,Monzo,0
#3476 739,13-Oct-20,Tuesday,20,MasterCard,PIN,£11,ATM,Products,China,China,United Kingdom,M,45.8,Barclays,1
#3641 980,13-Oct-20,Tuesday,2,MasterCard,PIN,£186,POS,Restaurant,India,India,United Kingdom,M,27.8,Barclays,1
#2997 155,14-Oct-20,Wednesday,14,MasterCard,PIN,£29,ATM,Electronics,India,United Kingdom,India,F,56.0,Metro,0
#3057 822,13-Oct-20,Tuesday,21,MasterCard,PIN,£21,ATM,Children,United Kingdom,USA,United Kingdom,M,48.2,HSBC,1
#3401 119,14-Oct-20,Wednesday,1,Visa,PIN,£17,ATM,Electronics,Russia,Russia,United Kingdom,M,39.9,Halifax,1
#2813 938,13-Oct-20,Tuesday,23,MasterCard,Tap,£19,POS,Services,United Kingdom,United Kingdom,United Kingdom,F,32.1,Halifax,0
#3139 251,13-Oct-20,Tuesday,10,MasterCard,Tap,£25,POS,Subscription,United Kingdom,USA,United Kingdom,F,41.5,Monzo,0
#2568 495,14-Oct-20,Wednesday,13,MasterCard,PIN,£290,ATM,Entertainment,United Kingdom,United Kingdom,United Kingdom,F,49.2,Barclays,0
#3120 887,13-Oct-20,Tuesday,18,Visa,PIN,£301,ATM,Electronics,India,India,United Kingdom,F,33.5,Barclays,1
#3420 563,14-Oct-20,Wednesday,4,Visa,CVC,£16,Online,Electronics,China,China,United Kingdom,M,31.8,RBS,1
#2598 350,14-Oct-20,Wednesday,15,Visa,CVC,£16,Online,Children,USA,USA,United Kingdom,M,34.4,Barlcays,1
#3163 746,13-Oct-20,Tuesday,23,Visa,PIN,£102,POS,Food,United Kingdom,United Kingdom,United Kingdom,M,38.0,Barclays,0
#2886 668,14-Oct-20,Wednesday,5,Visa,PIN,£22,ATM,Products,India,India,United Kingdom,F,51.5,Barclays,1
#3520 654,13-Oct-20,Tuesday,12,MasterCard,CVC,£301,Online,Electronics,USA,USA,United Kingdom,M,58.5,Barclays,1
#2990 399,13-Oct-20,Tuesday,14,Visa,CVC,£21,Online,Restaurant,United Kingdom,United Kingdom,United Kingdom,M,59.7,HSBC,0
#3417 446,14-Oct-20,Wednesday,11,Visa,Tap,£26,POS,Restaurant,China,China,United Kingdom,M,57.5,Lloyds,1
#3633 126,14-Oct-20,Wednesday,4,MasterCard,CVC,£104,Online,Electronics,India,India,United Kingdom,M,31.7,Monzo,1
#3227 882,13-Oct-20,Tuesday,21,MasterCard,PIN,£16,ATM,Subscription,United Kingdom,United Kingdom,United Kingdom,F,35.9,Metro,0
#3051 724,14-Oct-20,Wednesday,7,Visa,Tap,£6,POS,Products,USA,USA,United Kingdom,M,44.1,RBS,1
#3391 585,14-Oct-20,Wednesday,14,Visa,PIN,£24,ATM,Food,United Kingdom,United Kingdom,United Kingdom,M,35.7,Barclays,0
#3030 909,13-Oct-20,Tuesday,16,MasterCard,PIN,£22,ATM,Gaming,USA,USA,United Kingdom,M,45.3,Halifax,0
#3151 359,13-Oct-20,Tuesday,22,MasterCard,Tap,£11,POS,Electronics,United Kingdom,USA,United Kingdom,M,51.7,Barlcays,1
#3148 399,14-Oct-20,Wednesday,5,Visa,PIN,£389,ATM,Children,USA,USA,United Kingdom,F,42.0,Barclays,1
#3015 355,13-Oct-20,Tuesday,21,Visa,Tap,£27,POS,Children,India,India,India,F,38.7,Lloyds,0
#2945 093,13-Oct-20,Tuesday,23,Visa,Tap,£11,POS,Gaming,United Kingdom,India,United Kingdom,M,39.1,Barclays,0
#2585 962,14-Oct-20,Wednesday,8,MasterCard,CVC,£329,Online,Children,China,United Kingdom,China,M,46.2,RBS,1
#2751 123,14-Oct-20,Wednesday,23,Visa,CVC,£18,Online,Fashion,United Kingdom,United Kingdom,United Kingdom,F,38.8,HSBC,0
#2774 983,14-Oct-20,Wednesday,20,Visa,PIN,£13,ATM,Restaurant,United Kingdom,United Kingdom,United Kingdom,M,54.9,Metro,0
#2898 365,14-Oct-20,Wednesday,2,Visa,Tap,£25,POS,Services,United Kingdom,USA,United Kingdom,M,55.5,Metro,1
